26 articles and 4 reporters
12000 clicks or more required
Article Type Reporter Cost Clicks
A1 G 1 120 13200
A2 S 3 595 8500
A3 G 2 133 2800
A4 G 2 159 1100
A5 G 4 330 2300
A6 G 2 85 4000
A7 G 2 85 4000
A8 G 3 80 900
A9 S 2 120 2800
A10 E 1 95 2500
A11 S 2 133 2800
A12 L 2 159 1100
A13 G 2 330 2300
A14 E 4 224 4000
A15 S 3 80 900
A16 L 3 103 3600
A17 G 2 330 2300
A18 E 4 224 4000
A19 S 3 80 900
A20 L 3 103 3600
A21 G 2 85 4000
A22 G 4 80 900
A23 S 2 120 2800
A24 L 2 160 1100
A25 E 4 340 2300
A26 E 2 340 2300
